id,id_Key,Date_Proc,Lat_GMTCO,Lon_GMTCO,Date_Mscan,Date_LTZ,Temp_BB,Temp_Bkg,ESF_BB,RHI,RH,Methane_EQ,CO2_EQ,Area_Pixel,Area_BB,Cloud_Mask,QF_Fit,QF_Detect,Rad_DNB,Rad_M07,Rad_M08,Rad_M10,Rad_M11,Rad_M12,Rad_M13,Rad_M14,Rad_M15,Rad_M16,Tran_DNB,Tran_M07,Tran_M08,Tran_M10,Tran_M11,Tran_M12,Tran_M13,Tran_M14,Tran_M15,Tran_M16,PThm_M12,PThm_M13,PThm_M14,PThm_M15,PThm_M16,QF1_DNB,QF1_M07,QF1_M08,QF1_M10,QF_M11,QF1_M12,QF1_M13,QF1_M14,QF1_M15,QF1_M16,COT_IVCOP,EPS_IVCOP,QF1_IVCOP,QF2_IVCOP,QF3_IVCOP,DN_M10,Sample_M10,Line_M10,Sample_BT,Line_BT,Sample_DNB,Line_DNB,Lat_DNB,Lon_DNB,Dist_DNB,Thr_M07,Thr_M08,Thr_M10,Thr_M11,Thr_M16,SOLZ_GMTCO,SOLA_GMTCO,SATZ_GMTCO,SATA_GMTCO,SCVX_GMTCO,SCVY_GMTCO,SCVZ_GMTCO,SCPX_GMTCO,SCPY_GMTCO,SCPZ_GMTCO,SCAX_GMTCO,SCAY_GMTCO,SCAZ_GMTCO,QF1_GMTCO,QF2_GMTCO,QF1_VICMO,QF2_VICMO,QF3_VICMO,QF4_VICMO,QF5_VICMO,QF6_VICMO,Lat_Gring,Lon_Gring,CH_M12,CH_M13,File_M07,File_M08,File_M10,File_M11,File_M12,File_M13,File_M14,File_M15,File_M16,File_DNB,File_GDNB,File_GMTCO,File_GDNBO,File_VICMO,File_IVCOP,File_AC,Source_ID
3,x1060013E_y049053N_l0008_s1679_v30,2020/01/31 14:12:05,4.905349,106.001251,2020/01/31 18:25:56.705,2020-02-01 02:25:56.705,1927,999999,1.25727e-06,0.98234,0.570992,999999,999999,0.581257,0.730798,2,1,442189,0.0100317,0.0611861,0.125932,0.13089,0.100028,0.393382,0.678004,8.31303,8.91139,8.17374,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999999,999999,999999,999999,999999,131,1679,8,999999,999999,2116,8,4.904758,106.003891,0.299593,0.0350277,0.0843979,0.0369416,0.018701,8.41215,157.498,125.168,4.7305,-80.9683,1423.57,1062.68,-7323.72,-1.91413e+06,6.92046e+06,623527,-8.67386,4.32156,16.5643,128,0,11,3,0,10,0,3,7.066313;5.037895;2.846395;-2.142497;0.022045;2.064270,91.766022;105.461746;119.064445;117.930977;104.344841;90.707710,0.000000;0.000943;0.001212;0.016562;0.022621;0.058506;0.071230;0.125360;0.224732;0.294818;0.310303;0.379917;0.386852;0.417485;0.419235;0.419235;0.000000,0.000000;0.000623;0.000874;0.016870;0.024196;0.072278;0.089973;0.165411;0.313720;0.419394;0.444804;0.566926;0.580419;0.690241;0.728933;999999.000000;999999.000000,SVM07_npp_d20200131_t1825564_e1827206_b42809_c20200131194956666236_noac_ops.h5,SVM08_npp_d20200131_t1825564_e1827206_b42809_c20200131194956670241_noac_ops.h5,SVM10_npp_d20200131_t1825564_e1827206_b42809_c20200131194956598642_noac_ops.h5,SVM11_npp_d20200131_t1825564_e1827206_b42809_c20200131194956607224_noac_ops.h5,SVM12_npp_d20200131_t1825564_e1827206_b42809_c20200131194956614703_noac_ops.h5,SVM13_npp_d20200131_t1825564_e1827206_b42809_c20200131194956623073_noac_ops.h5,SVM14_npp_d20200131_t1825564_e1827206_b42809_c20200131194956633177_noac_ops.h5,SVM15_npp_d20200131_t1825564_e1827206_b42809_c20200131194956638443_noac_ops.h5,SVM16_npp_d20200131_t1825564_e1827206_b42809_c20200131194956642075_noac_ops.h5,SVDNB_npp_d20200131_t1825564_e1827206_b42809_c20200131194954299442_noac_ops.h5,GDNBO_npp_d20200131_t1825564_e1827206_b42809_c20200131194954287679_noac_ops.h5,GMTCO_npp_d20200131_t1825564_e1827206_b42809_c20200131194906577388_noac_ops.h5,GDNBO_npp_d20200131_t1825564_e1827206_b42809_c20200131194954287679_noac_ops.h5,VICMO_npp_d20200131_t1825564_e1827206_b42809_c20200131195023784543_noac_ops.h5,,,
59,x1179109E_y023681N_l0091_s3126_v30,2020/01/31 14:12:05,2.368091,117.910934,2020/01/31 18:26:05.601,2020-02-01 02:26:05.601,999999,999999,999999,999999,999999,999999,999999,999999,999999,3,0,2305,-5.5093e-07,0.00535627,0.011098,0.048706,0.0021411,0.158349,0.272353,4.73425,5.60815,5.1753,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999999,999999,999999,999999,999999,68,3126,91,999999,999999,3919,93,2.371079,117.912941,0.400436,0.0586187,0.125388,0.0485938,0.0241418,8.41215,145.994,118.236,67.65,-80.282,1442.9,995.472,-7329.34,-1.90138e+06,6.92962e+06,558348,-16.4284,4.70679,1.75721,0,0,14,129,1,3,0,6,7.066313;5.037895;2.846395;-2.142497;0.022045;2.064270,91.766022;105.461746;119.064445;117.930977;104.344841;90.707710,0.000000;0.000943;0.001212;0.016562;0.022621;0.058506;0.071230;0.125360;0.224732;0.294818;0.310303;0.379917;0.386852;0.417485;0.419235;0.419235;0.000000,0.000000;0.000623;0.000874;0.016870;0.024196;0.072278;0.089973;0.165411;0.313720;0.419394;0.444804;0.566926;0.580419;0.690241;0.728933;999999.000000;999999.000000,SVM07_npp_d20200131_t1825564_e1827206_b42809_c20200131194956666236_noac_ops.h5,SVM08_npp_d20200131_t1825564_e1827206_b42809_c20200131194956670241_noac_ops.h5,SVM10_npp_d20200131_t1825564_e1827206_b42809_c20200131194956598642_noac_ops.h5,SVM11_npp_d20200131_t1825564_e1827206_b42809_c20200131194956607224_noac_ops.h5,SVM12_npp_d20200131_t1825564_e1827206_b42809_c20200131194956614703_noac_ops.h5,SVM13_npp_d20200131_t1825564_e1827206_b42809_c20200131194956623073_noac_ops.h5,SVM14_npp_d20200131_t1825564_e1827206_b42809_c20200131194956633177_noac_ops.h5,SVM15_npp_d20200131_t1825564_e1827206_b42809_c20200131194956638443_noac_ops.h5,SVM16_npp_d20200131_t1825564_e1827206_b42809_c20200131194956642075_noac_ops.h5,SVDNB_npp_d20200131_t1825564_e1827206_b42809_c20200131194954299442_noac_ops.h5,GDNBO_npp_d20200131_t1825564_e1827206_b42809_c20200131194954287679_noac_ops.h5,GMTCO_npp_d20200131_t1825564_e1827206_b42809_c20200131194906577388_noac_ops.h5,GDNBO_npp_d20200131_t1825564_e1827206_b42809_c20200131194954287679_noac_ops.h5,VICMO_npp_d20200131_t1825564_e1827206_b42809_c20200131195023784543_noac_ops.h5,,,
60,x1082978E_y038526N_l0109_s2008_v30,2020/01/31 14:12:05,3.852563,108.297791,2020/01/31 18:26:07.381,2020-02-01 01:26:07.381,999999,999999,999999,999999,999999,999999,999999,999999,999999,0,0,439808,2.59236e-05,0.0168466,0.011098,0.00957102,0.0371007,0.379042,0.643999,8.08928,8.76276,8.0972,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999999,999999,999999,999999,999999,38,2008,109,999999,999999,2480,109,3.854759,108.298485,0.256284,0.0350277,0.0843979,0.0369416,0.018701,8.41215,154.98,124.29,24.8205,-80.2889,1446.75,982.018,-7330.39,-1.89881e+06,6.93138e+06,545306,-16.138,3.91992,0.0913921,128,0,15,1,2,0,0,3,7.066313;5.037895;2.846395;-2.142497;0.022045;2.064270,91.766022;105.461746;119.064445;117.930977;104.344841;90.707710,0.000000;0.000943;0.001212;0.016562;0.022621;0.058506;0.071230;0.125360;0.224732;0.294818;0.310303;0.379917;0.386852;0.417485;0.419235;0.419235;0.000000,0.000000;0.000623;0.000874;0.016870;0.024196;0.072278;0.089973;0.165411;0.313720;0.419394;0.444804;0.566926;0.580419;0.690241;0.728933;999999.000000;999999.000000,SVM07_npp_d20200131_t1825564_e1827206_b42809_c20200131194956666236_noac_ops.h5,SVM08_npp_d20200131_t1825564_e1827206_b42809_c20200131194956670241_noac_ops.h5,SVM10_npp_d20200131_t1825564_e1827206_b42809_c20200131194956598642_noac_ops.h5,SVM11_npp_d20200131_t1825564_e1827206_b42809_c20200131194956607224_noac_ops.h5,SVM12_npp_d20200131_t1825564_e1827206_b42809_c20200131194956614703_noac_ops.h5,SVM13_npp_d20200131_t1825564_e1827206_b42809_c20200131194956623073_noac_ops.h5,SVM14_npp_d20200131_t1825564_e1827206_b42809_c20200131194956633177_noac_ops.h5,SVM15_npp_d20200131_t1825564_e1827206_b42809_c20200131194956638443_noac_ops.h5,SVM16_npp_d20200131_t1825564_e1827206_b42809_c20200131194956642075_noac_ops.h5,SVDNB_npp_d20200131_t1825564_e1827206_b42809_c20200131194954299442_noac_ops.h5,GDNBO_npp_d20200131_t1825564_e1827206_b42809_c20200131194954287679_noac_ops.h5,GMTCO_npp_d20200131_t1825564_e1827206_b42809_c20200131194906577388_noac_ops.h5,GDNBO_npp_d20200131_t1825564_e1827206_b42809_c20200131194954287679_noac_ops.h5,VICMO_npp_d20200131_t1825564_e1827206_b42809_c20200131195023784543_noac_ops.h5,,,
73,x1053263E_y041318N_l0138_s1609_v30,2020/01/31 14:12:05,4.131763,105.326302,2020/01/31 18:26:10.939,2020-02-01 01:26:10.939,999999,999999,999999,999999,999999,999999,999999,999999,999999,0,0,168000,0.000812403,0.000356998,-0.0251655,0.0108755,0.0236995,0.353391,0.624549,8.21554,8.84819,8.17476,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0,999999,999999,999999,999999,999999,39,1609,138,999999,999999,2042,138,4.132157,105.323586,0.304257,0.0350277,0.0843979,0.0369416,0.018701,8.41215,157.534,127.504,0.505429,-66.0484,1454.4,955.097,-7332.41,-1.89365e+06,6.93482e+06,519217,-14.7873,2.38873,-0.415947,128,0,11,3,0,11,0,3,7.066313;5.037895;2.846395;-2.142497;0.022045;2.064270,91.766022;105.461746;119.064445;117.930977;104.344841;90.707710,0.000000;0.000943;0.001212;0.016562;0.022621;0.058506;0.071230;0.125360;0.224732;0.294818;0.310303;0.379917;0.386852;0.417485;0.419235;0.419235;0.000000,0.000000;0.000623;0.000874;0.016870;0.024196;0.072278;0.089973;0.165411;0.313720;0.419394;0.444804;0.566926;0.580419;0.690241;0.728933;999999.000000;999999.000000,SVM07_npp_d20200131_t1825564_e1827206_b42809_c20200131194956666236_noac_ops.h5,SVM08_npp_d20200131_t1825564_e1827206_b42809_c20200131194956670241_noac_ops.h5,SVM10_npp_d20200131_t1825564_e1827206_b42809_c20200131194956598642_noac_ops.h5,SVM11_npp_d20200131_t1825564_e1827206_b42809_c20200131194956607224_noac_ops.h5,SVM12_npp_d20200131_t1825564_e1827206_b42809_c20200131194956614703_noac_ops.h5,SVM13_npp_d20200131_t1825564_e1827206_b42809_c20200131194956623073_noac_ops.h5,SVM14_npp_d20200131_t1825564_e1827206_b42809_c20200131194956633177_noac_ops.h5,SVM15_npp_d20200131_t1825564_e1827206_b42809_c20200131194956638443_noac_ops.h5,SVM16_npp_d20200131_t1825564_e1827206_b42809_c20200131194956642075_noac_ops.h5,SVDNB_npp_d20200131_t1825564_e1827206_b42809_c20200131194954299442_noac_ops.h5,GDNBO_npp_d20200131_t1825564_e1827206_b42809_c20200131194954287679_noac_ops.h5,GMTCO_npp_d20200131_t1825564_e1827206_b42809_c20200131194906577388_noac_ops.h5,GDNBO_npp_d20200131_t1825564_e1827206_b42809_c20200131194954287679_noac_ops.h5,VICMO_npp_d20200131_t1825564_e1827206_b42809_c20200131195023784543_noac_ops.h5,,,
74,x1051092E_y041455N_l0141_s1578_v30,2020/01/31 14:12:05,4.145479,105.109238,2020/01/31 18:26:10.939,2020-02-01 02:26:10.939,1403,999999,3.28551e-06,0.7215,0.415789,999999,999999,0.576284,1.89338,0,1,442177,0.00397177,0.0172014,0.011098,0.061751,0.0720604,0.387996,0.677669,8.36497,8.96795,8.23842,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999999,999999,999999,999999,999999,78,1578,141,999999,999999,2010,141,4.145546,105.109238,0.00743166,0.0350277,0.0843979,0.0369416,0.018701,8.41215,157.714,127.783,1.42307,86.3346,1454.4,955.097,-7332.41,-1.89365e+06,6.93482e+06,519217,-14.7873,2.38873,-0.415947,128,0,11,3,0,10,0,3,7.066313;5.037895;2.846395;-2.142497;0.022045;2.064270,91.766022;105.461746;119.064445;117.930977;104.344841;90.707710,0.000000;0.000943;0.001212;0.016562;0.022621;0.058506;0.071230;0.125360;0.224732;0.294818;0.310303;0.379917;0.386852;0.417485;0.419235;0.419235;0.000000,0.000000;0.000623;0.000874;0.016870;0.024196;0.072278;0.089973;0.165411;0.313720;0.419394;0.444804;0.566926;0.580419;0.690241;0.728933;999999.000000;999999.000000,SVM07_npp_d20200131_t1825564_e1827206_b42809_c20200131194956666236_noac_ops.h5,SVM08_npp_d20200131_t1825564_e1827206_b42809_c20200131194956670241_noac_ops.h5,SVM10_npp_d20200131_t1825564_e1827206_b42809_c20200131194956598642_noac_ops.h5,SVM11_npp_d20200131_t1825564_e1827206_b42809_c20200131194956607224_noac_ops.h5,SVM12_npp_d20200131_t1825564_e1827206_b42809_c20200131194956614703_noac_ops.h5,SVM13_npp_d20200131_t1825564_e1827206_b42809_c20200131194956623073_noac_ops.h5,SVM14_npp_d20200131_t1825564_e1827206_b42809_c20200131194956633177_noac_ops.h5,SVM15_npp_d20200131_t1825564_e1827206_b42809_c20200131194956638443_noac_ops.h5,SVM16_npp_d20200131_t1825564_e1827206_b42809_c20200131194956642075_noac_ops.h5,SVDNB_npp_d20200131_t1825564_e1827206_b42809_c20200131194954299442_noac_ops.h5,GDNBO_npp_d20200131_t1825564_e1827206_b42809_c20200131194954287679_noac_ops.h5,GMTCO_npp_d20200131_t1825564_e1827206_b42809_c20200131194906577388_noac_ops.h5,GDNBO_npp_d20200131_t1825564_e1827206_b42809_c20200131194954287679_noac_ops.h5,VICMO_npp_d20200131_t1825564_e1827206_b42809_c20200131195023784543_noac_ops.h5,,,
82,x1186222E_y017331N_l0170_s3188_v30,2020/01/31 14:12:05,1.733063,118.622208,2020/01/31 18:26:14.498,2020-02-01 02:26:14.498,999999,999999,999999,999999,999999,999999,999999,999999,999999,3,0,176128,-5.21332e-06,0.011786,-0.0342314,-0.01391,0.0242822,0.133304,0.201758,3.38297,4.09891,3.71231,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,129,129,0,0,0,0,0,0,999999,999999,999999,999999,999999,20,3188,170,999999,999999,4042,172,1.730945,118.618706,0.454917,0.0586187,0.125388,0.0485938,0.0241418,8.41215,145.034,118.558,69.6,-80.4416,1462.03,928.16,-7334.34,-1.88846e+06,6.93818e+06,493121,-14.0392,2.28996,0.72928,128,0,15,131,5,3,0,6,7.066313;5.037895;2.846395;-2.142497;0.022045;2.064270,91.766022;105.461746;119.064445;117.930977;104.344841;90.707710,0.000000;0.000943;0.001212;0.016562;0.022621;0.058506;0.071230;0.125360;0.224732;0.294818;0.310303;0.379917;0.386852;0.417485;0.419235;0.419235;0.000000,0.000000;0.000623;0.000874;0.016870;0.024196;0.072278;0.089973;0.165411;0.313720;0.419394;0.444804;0.566926;0.580419;0.690241;0.728933;999999.000000;999999.000000,SVM07_npp_d20200131_t1825564_e1827206_b42809_c20200131194956666236_noac_ops.h5,SVM08_npp_d20200131_t1825564_e1827206_b42809_c20200131194956670241_noac_ops.h5,SVM10_npp_d20200131_t1825564_e1827206_b42809_c20200131194956598642_noac_ops.h5,SVM11_npp_d20200131_t1825564_e1827206_b42809_c20200131194956607224_noac_ops.h5,SVM12_npp_d20200131_t1825564_e1827206_b42809_c20200131194956614703_noac_ops.h5,SVM13_npp_d20200131_t1825564_e1827206_b42809_c20200131194956623073_noac_ops.h5,SVM14_npp_d20200131_t1825564_e1827206_b42809_c20200131194956633177_noac_ops.h5,SVM15_npp_d20200131_t1825564_e1827206_b42809_c20200131194956638443_noac_ops.h5,SVM16_npp_d20200131_t1825564_e1827206_b42809_c20200131194956642075_noac_ops.h5,SVDNB_npp_d20200131_t1825564_e1827206_b42809_c20200131194954299442_noac_ops.h5,GDNBO_npp_d20200131_t1825564_e1827206_b42809_c20200131194954287679_noac_ops.h5,GMTCO_npp_d20200131_t1825564_e1827206_b42809_c20200131194906577388_noac_ops.h5,GDNBO_npp_d20200131_t1825564_e1827206_b42809_c20200131194954287679_noac_ops.h5,VICMO_npp_d20200131_t1825564_e1827206_b42809_c20200131195023784543_noac_ops.h5,,,
87,x1168751E_y016561N_l0222_s3054_v30,2020/01/31 14:12:05,1.656123,116.875069,2020/01/31 18:26:19.836,2020-02-01 02:26:19.836,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,0,32768,-5.19462e-06,-0.00286666,0.0503835,0.000439517,0.0260302,0.0271995,0.0423829,1.4863,2.01273,2.07458,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,129,0,0,0,0,0,0,0,0,999999,999999,999999,999999,999999,31,3054,222,999999,999999,3795,228,1.655146,116.873909,0.16855,0.0586187,0.125388,0.0485938,0.0241418,8.41215,146.502,119.842,65.5202,-80.312,1473.4,887.724,-7337.04,-1.88062e+06,6.94302e+06,453964,-17.1355,1.44584,-16.6511,0,0,0,0,0,0,0,0,7.066313;5.037895;2.846395;-2.142497;0.022045;2.064270,91.766022;105.461746;119.064445;117.930977;104.344841;90.707710,0.000000;0.000943;0.001212;0.016562;0.022621;0.058506;0.071230;0.125360;0.224732;0.294818;0.310303;0.379917;0.386852;0.417485;0.419235;0.419235;0.000000,0.000000;0.000623;0.000874;0.016870;0.024196;0.072278;0.089973;0.165411;0.313720;0.419394;0.444804;0.566926;0.580419;0.690241;0.728933;999999.000000;999999.000000,SVM07_npp_d20200131_t1825564_e1827206_b42809_c20200131194956666236_noac_ops.h5,SVM08_npp_d20200131_t1825564_e1827206_b42809_c20200131194956670241_noac_ops.h5,SVM10_npp_d20200131_t1825564_e1827206_b42809_c20200131194956598642_noac_ops.h5,SVM11_npp_d20200131_t1825564_e1827206_b42809_c20200131194956607224_noac_ops.h5,SVM12_npp_d20200131_t1825564_e1827206_b42809_c20200131194956614703_noac_ops.h5,SVM13_npp_d20200131_t1825564_e1827206_b42809_c20200131194956623073_noac_ops.h5,SVM14_npp_d20200131_t1825564_e1827206_b42809_c20200131194956633177_noac_ops.h5,SVM15_npp_d20200131_t1825564_e1827206_b42809_c20200131194956638443_noac_ops.h5,SVM16_npp_d20200131_t1825564_e1827206_b42809_c20200131194956642075_noac_ops.h5,SVDNB_npp_d20200131_t1825564_e1827206_b42809_c20200131194954299442_noac_ops.h5,GDNBO_npp_d20200131_t1825564_e1827206_b42809_c20200131194954287679_noac_ops.h5,GMTCO_npp_d20200131_t1825564_e1827206_b42809_c20200131194906577388_noac_ops.h5,GDNBO_npp_d20200131_t1825564_e1827206_b42809_c20200131194954287679_noac_ops.h5,VICMO_npp_d20200131_t1825564_e1827206_b42809_c20200131195023784543_noac_ops.h5,,,
88,x1176157E_y014385N_l0237_s3120_v30,2020/01/31 14:12:05,1.438466,117.615692,2020/01/31 18:26:21.615,2020-02-01 02:26:21.615,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,0,163840,2.0904e-06,0.00394292,0.0050541,0.00304852,0.0254475,0.048407,0.0725151,1.89384,2.4469,2.42508,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999999,999999,999999,999999,999999,33,3120,237,999999,999999,3908,242,1.440189,117.614571,0.228722,0.0586187,0.125388,0.0485938,0.0241418,8.41215,145.745,119.592,67.4687,-80.3844,1477.18,874.238,-7337.89,-1.878e+06,6.94459e+06,440909,-17.2533,1.13382,-19.1601,128,0,0,0,0,0,0,0,7.066313;5.037895;2.846395;-2.142497;0.022045;2.064270,91.766022;105.461746;119.064445;117.930977;104.344841;90.707710,0.000000;0.000943;0.001212;0.016562;0.022621;0.058506;0.071230;0.125360;0.224732;0.294818;0.310303;0.379917;0.386852;0.417485;0.419235;0.419235;0.000000,0.000000;0.000623;0.000874;0.016870;0.024196;0.072278;0.089973;0.165411;0.313720;0.419394;0.444804;0.566926;0.580419;0.690241;0.728933;999999.000000;999999.000000,SVM07_npp_d20200131_t1825564_e1827206_b42809_c20200131194956666236_noac_ops.h5,SVM08_npp_d20200131_t1825564_e1827206_b42809_c20200131194956670241_noac_ops.h5,SVM10_npp_d20200131_t1825564_e1827206_b42809_c20200131194956598642_noac_ops.h5,SVM11_npp_d20200131_t1825564_e1827206_b42809_c20200131194956607224_noac_ops.h5,SVM12_npp_d20200131_t1825564_e1827206_b42809_c20200131194956614703_noac_ops.h5,SVM13_npp_d20200131_t1825564_e1827206_b42809_c20200131194956623073_noac_ops.h5,SVM14_npp_d20200131_t1825564_e1827206_b42809_c20200131194956633177_noac_ops.h5,SVM15_npp_d20200131_t1825564_e1827206_b42809_c20200131194956638443_noac_ops.h5,SVM16_npp_d20200131_t1825564_e1827206_b42809_c20200131194956642075_noac_ops.h5,SVDNB_npp_d20200131_t1825564_e1827206_b42809_c20200131194954299442_noac_ops.h5,GDNBO_npp_d20200131_t1825564_e1827206_b42809_c20200131194954287679_noac_ops.h5,GMTCO_npp_d20200131_t1825564_e1827206_b42809_c20200131194906577388_noac_ops.h5,GDNBO_npp_d20200131_t1825564_e1827206_b42809_c20200131194954287679_noac_ops.h5,VICMO_npp_d20200131_t1825564_e1827206_b42809_c20200131195023784543_noac_ops.h5,,,
89,x1158857E_y016429N_l0259_s2962_v30,2020/01/31 14:12:05,1.642867,115.885742,2020/01/31 18:26:25.173,2020-02-01 02:26:25.173,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,0,2305,-1.54805e-06,-0.0292608,-0.0342314,0.048706,0.00621973,0.100921,0.180523,3.59033,4.34544,4.09736,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,129,129,0,0,0,0,0,0,0,999999,999999,999999,999999,999999,68,2962,259,999999,999999,3655,254,1.642223,115.885033,0.106555,0.0586187,0.125388,0.0485938,0.0241418,8.41215,147.331,120.578,62.9256,-81.0957,1484.7,847.253,-7339.51,-1.87273e+06,6.94765e+06,414794,-15.5382,1.36237,-14.3313,128,0,0,0,0,0,0,0,7.066313;5.037895;2.846395;-2.142497;0.022045;2.064270,91.766022;105.461746;119.064445;117.930977;104.344841;90.707710,0.000000;0.000943;0.001212;0.016562;0.022621;0.058506;0.071230;0.125360;0.224732;0.294818;0.310303;0.379917;0.386852;0.417485;0.419235;0.419235;0.000000,0.000000;0.000623;0.000874;0.016870;0.024196;0.072278;0.089973;0.165411;0.313720;0.419394;0.444804;0.566926;0.580419;0.690241;0.728933;999999.000000;999999.000000,SVM07_npp_d20200131_t1825564_e1827206_b42809_c20200131194956666236_noac_ops.h5,SVM08_npp_d20200131_t1825564_e1827206_b42809_c20200131194956670241_noac_ops.h5,SVM10_npp_d20200131_t1825564_e1827206_b42809_c20200131194956598642_noac_ops.h5,SVM11_npp_d20200131_t1825564_e1827206_b42809_c20200131194956607224_noac_ops.h5,SVM12_npp_d20200131_t1825564_e1827206_b42809_c20200131194956614703_noac_ops.h5,SVM13_npp_d20200131_t1825564_e1827206_b42809_c20200131194956623073_noac_ops.h5,SVM14_npp_d20200131_t1825564_e1827206_b42809_c20200131194956633177_noac_ops.h5,SVM15_npp_d20200131_t1825564_e1827206_b42809_c20200131194956638443_noac_ops.h5,SVM16_npp_d20200131_t1825564_e1827206_b42809_c20200131194956642075_noac_ops.h5,SVDNB_npp_d20200131_t1825564_e1827206_b42809_c20200131194954299442_noac_ops.h5,GDNBO_npp_d20200131_t1825564_e1827206_b42809_c20200131194954287679_noac_ops.h5,GMTCO_npp_d20200131_t1825564_e1827206_b42809_c20200131194906577388_noac_ops.h5,GDNBO_npp_d20200131_t1825564_e1827206_b42809_c20200131194954287679_noac_ops.h5,VICMO_npp_d20200131_t1825564_e1827206_b42809_c20200131195023784543_noac_ops.h5,,,
91,x1149082E_y016810N_l0269_s2850_v30,2020/01/31 14:12:05,1.680955,114.908234,2020/01/31 18:26:25.173,2020-02-01 02:26:25.173,999999,999999,999999,999999,999999,999999,999999,999999,999999,3,0,163840,1.40971e-06,0.00366097,0.01412,-0.019128,0.0242822,0.0982951,0.177776,3.76414,4.54243,4.31477,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0,999999,999999,999999,999999,999999,16,2850,269,999999,999999,3512,272,1.681354,114.907890,0.0585346,0.0586187,0.125388,0.0485938,0.0241418,8.41215,148.188,121.295,59.9539,-80.4739,1484.7,847.253,-7339.51,-1.87273e+06,6.94765e+06,414794,-15.5382,1.36237,-14.3313,128,0,14,129,1,3,0,6,7.066313;5.037895;2.846395;-2.142497;0.022045;2.064270,91.766022;105.461746;119.064445;117.930977;104.344841;90.707710,0.000000;0.000943;0.001212;0.016562;0.022621;0.058506;0.071230;0.125360;0.224732;0.294818;0.310303;0.379917;0.386852;0.417485;0.419235;0.419235;0.000000,0.000000;0.000623;0.000874;0.016870;0.024196;0.072278;0.089973;0.165411;0.313720;0.419394;0.444804;0.566926;0.580419;0.690241;0.728933;999999.000000;999999.000000,SVM07_npp_d20200131_t1825564_e1827206_b42809_c20200131194956666236_noac_ops.h5,SVM08_npp_d20200131_t1825564_e1827206_b42809_c20200131194956670241_noac_ops.h5,SVM10_npp_d20200131_t1825564_e1827206_b42809_c20200131194956598642_noac_ops.h5,SVM11_npp_d20200131_t1825564_e1827206_b42809_c20200131194956607224_noac_ops.h5,SVM12_npp_d20200131_t1825564_e1827206_b42809_c20200131194956614703_noac_ops.h5,SVM13_npp_d20200131_t1825564_e1827206_b42809_c20200131194956623073_noac_ops.h5,SVM14_npp_d20200131_t1825564_e1827206_b42809_c20200131194956633177_noac_ops.h5,SVM15_npp_d20200131_t1825564_e1827206_b42809_c20200131194956638443_noac_ops.h5,SVM16_npp_d20200131_t1825564_e1827206_b42809_c20200131194956642075_noac_ops.h5,SVDNB_npp_d20200131_t1825564_e1827206_b42809_c20200131194954299442_noac_ops.h5,GDNBO_npp_d20200131_t1825564_e1827206_b42809_c20200131194954287679_noac_ops.h5,GMTCO_npp_d20200131_t1825564_e1827206_b42809_c20200131194906577388_noac_ops.h5,GDNBO_npp_d20200131_t1825564_e1827206_b42809_c20200131194954287679_noac_ops.h5,VICMO_npp_d20200131_t1825564_e1827206_b42809_c20200131195023784543_noac_ops.h5,,,
